name,team
名古屋市瑞穂陸上競技場,
豊田スタジアム,名古屋グランパス
フクダ電子アリーナ,ジェフユナイテッド千葉
日立柏サッカー場,柏レイソル
ニンジニアスタジアム,愛媛ＦＣ
レベルファイブスタジアム,アビスパ福岡
北九州市立本城陸上競技場,ギラヴァンツ北九州
岐阜メモリアルセンター長良川競技場,ＦＣ岐阜
正田醤油スタジアム群馬,ザスパクサツ群馬
エディオンスタジアム広島,サンフレッチェ広島
札幌ドーム,コンサドーレ札幌
札幌厚別公園競技場,
ノエビアスタジアム神戸,ヴィッセル神戸
県立カシマサッカースタジアム,鹿島アントラーズ
ケーズデンキスタジアム水戸,水戸ホーリーホック
鹿児島県立鴨池陸上競技場 ,
等々力陸上競技場,川崎フロンターレ
日産スタジアム,横浜Ｆ・マリノス
ニッパツ三ツ沢球技場,横浜ＦＣ
Ｓｈｏｎａｎ　ＢＭＷスタジアム平塚,湘南ベルマーレ
うまかな・よかなスタジアム,ロアッソ熊本
熊本市水前寺競技場,
京都市西京極総合運動公園陸上競技場兼球技場,京都サンガＦ．Ｃ．
ユアテックスタジアム仙台,ベガルタ仙台
松本平広域公園総合球技場,松本山雅ＦＣ
デンカビッグスワンスタジアム,アルビレックス新潟
大分銀行ドーム,大分トリニータ
シティライトスタジアム,ファジアーノ岡山
万博記念競技場,
キンチョウスタジアム,セレッソ大阪
ヤンマースタジアム長居,ガンバ大阪
ベストアメニティスタジアム,サガン鳥栖
佐賀県総合運動場陸上競技場,
埼玉スタジアム２００２,浦和レッズ
ＮＡＣＫ５スタジアム大宮,大宮アルディージャ
ＩＡＩスタジアム日本平,清水エスパルス
エコパスタジアム,
ヤマハスタジアム（磐田）,ジュビロ磐田
栃木県グリーンスタジアム,栃木ＳＣ
鳴門・大塚スポーツパーク　ポカリスエットスタジアム,徳島ヴォルティス
味の素スタジアム,ＦＣ東京
味の素スタジアム,東京ヴェルディ
町田市立陸上競技場,ＦＣ町田ゼルビア
国立競技場,
駒沢オリンピック公園総合運動場陸上競技場,
とりぎんバードスタジアム,ガイナーレ鳥取
富山県総合運動公園陸上競技場,カターレ富山
ＮＤソフトスタジアム山形,モンテディオ山形
山梨中銀スタジアム,ヴァンフォーレ甲府
熊谷スポーツ文化公園陸上競技場,
神戸総合運動公園ユニバー記念競技場,
宮城スタジアム,
岐阜メモリアルセンター長良川球技メドウ,
味の素フィールド西が丘,
福島県営あづま陸上競技場,
岡山県津山陸上競技場,
長崎県立総合運動公園陸上競技場,Ｖ・ファーレン長崎
長崎市総合運動公園かきどまり陸上競技場,
大垣市浅中公園総合グラウンド陸上競技場,
香川県立丸亀競技場,カマタマーレ讃岐
